f_Hz,Round_p_centre_0deg_dB,Round_p_centre_15deg_dB,Round_p_centre_30deg_dB,Round_p_centre_45deg_dB,Round_p_centre_60deg_dB,Round_p_centre_75deg_dB,Round_p_centre_90deg_dB,Round_p_centre_120deg_dB,Round_p_centre_150deg_dB,Round_p_centre_180deg_dB,Round_p_FP_0deg_dB,Round_p_FP_15deg_dB,Round_p_FP_30deg_dB,Round_p_FP_45deg_dB,Round_p_FP_60deg_dB,Round_p_FP_75deg_dB,Round_p_FP_90deg_dB,Round_p_FP_120deg_dB,Round_p_FP_150deg_dB,Round_p_FP_180deg_dB,Round_p_avg_0deg_dB,Round_p_avg_15deg_dB,Round_p_avg_30deg_dB,Round_p_avg_45deg_dB,Round_p_avg_60deg_dB,Round_p_avg_75deg_dB,Round_p_avg_90deg_dB,Round_p_avg_120deg_dB,Round_p_avg_150deg_dB,Round_p_avg_180deg_dB,Flat_p_centre_0deg_dB,Flat_p_centre_15deg_dB,Flat_p_centre_30deg_dB,Flat_p_centre_45deg_dB,Flat_p_centre_60deg_dB,Flat_p_centre_75deg_dB,Flat_p_centre_90deg_dB,Flat_p_centre_120deg_dB,Flat_p_centre_150deg_dB,Flat_p_centre_180deg_dB,Flat_p_FP_0deg_dB,Flat_p_FP_15deg_dB,Flat_p_FP_30deg_dB,Flat_p_FP_45deg_dB,Flat_p_FP_60deg_dB,Flat_p_FP_75deg_dB,Flat_p_FP_90deg_dB,Flat_p_FP_120deg_dB,Flat_p_FP_150deg_dB,Flat_p_FP_180deg_dB,Flat_p_avg_0deg_dB,Flat_p_avg_15deg_dB,Flat_p_avg_30deg_dB,Flat_p_avg_45deg_dB,Flat_p_avg_60deg_dB,Flat_p_avg_75deg_dB,Flat_p_avg_90deg_dB,Flat_p_avg_120deg_dB,Flat_p_avg_150deg_dB,Flat_p_avg_180deg_dB
50,0.0360049136014938,0.0308900051416348,0.0167209269901343,-0.00318615468266054,-0.024035151618331,-0.0406710006907292,-0.048990462241076,-0.0364332299075564,-0.00370149069591199,0.0130106806907352,0.0359443299254346,0.0308811331352209,0.0168517018917498,-0.002869227234983,-0.0235398142936773,-0.0400558994982937,-0.0483482282833105,-0.0360268954210083,-0.00370910414325459,0.0127989986078372,0.0260072892645038,0.0332853797828281,0.0299174151167691,0.0165255707149213,-0.00381330749572147,-0.026163224342495,-0.0449294637657639,-0.0553479479884066,-0.0288840256063367,0.00353061017369853,0.0336118319027766,0.0286769190110258,0.0150303679924459,-0.00407494689292315,-0.0239707848348629,-0.03968931472813,-0.0473236222789161,-0.0344771847499581,-0.00239418588330121,0.0139252236217612,0.0335401584162598,0.0286564045187882,0.0151481465774219,-0.00377242205705585,-0.0234905276525275,-0.039088853706328,-0.0466946243886568,-0.0340802544198746,-0.00240804774809339,0.0137085828459759,0.0236525375159366,0.0308368238831055,0.0277577991790228,0.0150173143247566,-0.00439454990575109,-0.0257089550823148,-0.0435516978049953,-0.0531554942513293,-0.027234946785719,0.00446210211941588
52.9731547179648,0.0430416602009012,0.0372535557321282,0.021191965054797,-0.00145100245142681,-0.0252902294834645,-0.0444757050250993,-0.0542941125536397,-0.0407553216894546,-0.00412380577634402,0.014627663604083,0.0429855321025363,0.0372555823582365,0.0213507995267328,-0.0010838246564809,-0.0247245341771832,-0.0437783316983083,-0.0535693088996409,-0.0402991115722466,-0.00413273453975495,0.0143898130109226,0.0317781463959166,0.0399976852498896,0.0361673035691896,0.0209562302145418,-0.00221016093611657,-0.0277728186777132,-0.0493676425823411,-0.0618552293696197,-0.0323814470972537,0.00398741597586023,0.0400538003257159,0.0344676906106136,0.0189970974380545,-0.00272661320550552,-0.0254544121277406,-0.0435496901355239,-0.0525336030971888,-0.038582281269154,-0.00265756770225399,0.0156545172845078,0.0399860533902085,0.0344573542444226,0.0191417291543523,-0.0023755991758593,-0.0249059300797281,-0.0428691381396804,-0.051823978447818,-0.0381366995716704,-0.00267350741608092,0.0154111043272835,0.0288306212869881,0.0369433926742335,0.0334376371394578,0.0189682155327254,-0.00312670957212798,-0.0274730615364805,-0.0479639681479189,-0.0594286881773974,-0.0305320716506666,0.00503328378667078
56.1231024154687,0.0514726060096104,0.0449264058797144,0.0267259081655475,0.00096949777555945,-0.026306235410647,-0.048462477528753,-0.0600750926804008,-0.0455725615242264,-0.00459134158629399,0.0164473879110646,0.0514224091559892,0.0449417486575559,0.0269176810028883,0.00139484378133843,-0.0256597676238351,-0.0476712965798104,-0.0592567132011301,-0.0450603390815404,-0.00460183844388879,0.0161801091023321,0.0387845864324629,0.0480724974850611,0.0437271489202386,0.0264580784919011,6.54071913788155e-05,-0.0291973168625051,-0.054086105903421,-0.0690912478813328,-0.0362984547491048,0.00450505594470583,0.0477777830276668,0.0414559825622529,0.0239182141709939,-0.000790731993574759,-0.0267753404058504,-0.0476383219881953,-0.058235688407177,-0.0431614615810316,-0.00294679512901546,0.0176005848640045,0.0477159534959653,0.0414586855765805,0.024094831859169,-0.000383296920241489,-0.02614840850162,-0.0468664368316443,-0.0574347235862918,-0.0426612596716447,-0.00296515881895227,0.0173270663555865,0.0351304131175877,0.0442964081169251,0.0403112589396964,0.0238801399611354,-0.00127982351183432,-0.0291170245525796,-0.0526869459331054,-0.066410523590994,-0.0342244720167848,0.00567958461939499
59.4603557501361,0.0615509047572582,0.0541539915785376,0.0335433790384302,0.00425131528763181,-0.0269700510770821,-0.0525885842354769,-0.0663505778493881,-0.0509374996356851,-0.00510850934810154,0.018495394423328,0.0615078039383227,0.0541849476322702,0.0337733461993948,0.00474373351101763,-0.0262309276388759,-0.0516904029668323,-0.065426085632872,-0.0503623694729513,-0.00512087891721161,0.0181950173958393,0.0472618690433153,0.0577630406109331,0.0528506098960689,0.0332622289336457,0.00319499569226147,-0.0303276965906704,-0.0590561680763193,-0.0771283385681877,-0.0406847476376423,0.00509172588539557,0.0570265668369217,0.0498756412123674,0.0299998732762885,0.00189169398228437,-0.0278373563047131,-0.0519258643994627,-0.0644547101860148,-0.0482660101906182,-0.00326386388050066,0.0197908180228272,0.0569726476104429,0.0498944143676165,0.030214212454212,0.0023646036676418,-0.0271202342492309,-0.0510497615464207,-0.063550199856918,-0.0477044853724809,-0.0032850611461195,0.0194834411537554,0.0427757550645764,0.0531372009671452,0.0486178639140719,0.029966659393362,0.0013089083438283,-0.0305483594548794,-0.0577029942377357,-0.0741729777821249,-0.0383588637543729,0.00641108273713601
62.9960524947437,0.0735626211710758,0.0652153967144752,0.0418998377620586,0.00860437188627838,-0.0271399595200968,-0.0567926128168007,-0.0731304809771412,-0.0569072932779501,-0.00568015638097425,0.0208003653820238,0.0735270887903102,0.0652638105013574,0.0421734334479795,0.00917372851634507,-0.0262946971047074,-0.0557723659644175,-0.072085592648379,-0.0562615065781351,-0.00569476583242806,0.0204627578017908,0.0574771035369519,0.0693569640250394,0.0638293187432599,0.0416402015188183,0.00739883017095927,-0.0310242924325728,-0.0642314264316026,-0.0860435767128599,-0.0455958648677553,0.00575664375671262,0.068079641642784,0.0599973319378791,0.0374845823548522,0.00551305342552915,-0.0285178347277428,-0.0563669829831851,-0.0712103179736239,-0.0539519702721632,-0.00361088346410069,0.0222560245396388,0.0680353635391944,0.0600351555768432,0.0377428789238027,0.00606165967391732,-0.0276970957453163,-0.055371906816768,-0.0701883505216825,-0.053321595288428,-0.00363539962220072,0.0219105638438035,0.0520257311946928,0.063744803139381,0.0586366163604315,0.0374817303430549,0.00483895576724823,-0.0316469038424827,-0.0629794618273674,-0.0827932344293718,-0.0429874226744756,0.00723915721383014
66.7419927085017,0.0878252436049819,0.0784225967752493,0.0520867280839443,0.0142759076872472,-0.0266409128561711,-0.0609900202907859,-0.0804146530535391,-0.0635438813177882,-0.00631164766192198,0.0233944632833408,0.0877964989424823,0.0784893600634867,0.0524092318104135,0.0149329240663186,-0.0256743250657051,-0.0598305433954537,-0.0792330966691924,-0.0628187290447304,-0.00632893952720205,0.0230149719544362,0.0697280767371846,0.0831754808011866,0.0769937026714861,0.051907253454756,0.0129413134421765,-0.031110536545529,-0.0695427604743471,-0.0959183726363478,-0.0510938906490186,0.00651012904033139,0.0812544516949961,0.0721303333956876,0.0466543476177061,0.0103036712116985,-0.0286626798314593,-0.0608961538112046,-0.0785145887780695,-0.0602804090229194,-0.00399011181376288,0.02503081340542,0.0812208680868048,0.0721897780903923,0.0469631295708133,0.0109393525270255,-0.0277230508123851,-0.0597652290762563,-0.0773593033082184,-0.0595727299633949,-0.00401852245684033,0.0246425108898013,0.0631761360733888,0.0764377036934565,0.0706896808133297,0.0467245041488127,0.00955260169962089,-0.0322586988615545,-0.0684641523249428,-0.0923534599882745,-0.0481684399932418,0.0081766142657534
70.7106781186548,0.104683196832407,0.0941169445186923,0.0644305708329386,0.0215528302768438,-0.0252597866551108,-0.0650680609857199,-0.0881894389558748,-0.070914100635856,-0.00700897620291474,0.0263136894996936,0.104658413798958,0.0942012770561906,0.064806592677402,0.0223088544910625,-0.0241549330887975,-0.0637498609342792,-0.0868526848708402,-0.0700997930520954,-0.00702948362970781,0.0258870745893406,0.0843392250147857,0.0995696487761653,0.0927114409113781,0.0644242923435498,0.0201363247130653,-0.0303660101970438,-0.0748923157900732,-0.106837781253583,-0.0572482528804804,0.00736366985877454,0.0969055869052022,0.0866224946050586,0.0578326051471015,0.0165359858348344,-0.028080880727449,-0.0654227351701121,-0.0863690317563386,-0.0673176547495877,-0.00440401342130256,0.0281540062739883,0.0968824538867498,0.0867051709820411,0.0581983332366129,0.0172711736285447,-0.0270051119101389,-0.0641367035551941,-0.08506234446722,-0.0665231760673832,-0.00443700167542248,0.0277175041407167,0.0765590285187811,0.0915736893795793,0.0851437813734188,0.0580434602354575,0.0157413197604372,-0.0321889885916156,-0.0740797943446883,-0.102940349170516,-0.0539670675021044,0.00923780778648516
74.9153538438341,0.124499225010164,0.112661790756811,0.07928900251337,0.030762289475894,-0.0227410196383113,-0.068880163826844,-0.096423500138839,-0.0790897191863584,-0.00777891024171421,0.0295982603115004,0.124472452313036,0.112760244931163,0.0797217306466549,0.0316288982506992,-0.0214792391794882,-0.0673812000588116,-0.094910465721292,-0.0781752498406854,-0.00780327510216595,0.0291186215153594,0.101653631591173,0.118912652868791,0.111382461625795,0.0795974532197233,0.0293516867610782,-0.0285189837195756,-0.0801463674446275,-0.118889432374737,-0.0641366269452993,0.008329971428295,0.115420898138922,0.103857382973162,0.0713841133845624,0.0245277992893642,-0.0265389206017948,-0.0698252993458086,-0.094760884115457,-0.0751354902848734,-0.00485535037537953,0.031669072011657,0.115405787440557,0.103963139147553,0.0718126144489078,0.0253757381522204,-0.0253077111824753,-0.0683622502324306,-0.0932821829877883,-0.0742435451961266,-0.00489372729109416,0.0311783371555011,0.0925393844082505,0.109546765400745,0.102409362154922,0.071839147279018,0.0237519919107905,-0.0311943986112204,-0.0797173725617345,-0.114644361429039,-0.0604561665410629,0.0104387469142292
79.37005259841,0.147640389736871,0.134429980041201,0.0970425446257051,0.0422694785572766,-0.0187832311636418,-0.0722399198173968,-0.105062824666404,-0.0881473513330464,-0.00862918516254046,0.033292998679328,0.147601130280378,0.134535113429132,0.0975326943802718,0.0432578514025785,-0.0173443021689285,-0.0705354164823775,-0.10334955603544,-0.0871203434026155,-0.00865817947282367,0.0327536924315081,0.122019783189367,0.14158678892372,0.13342916958239,0.0978741564695535,0.0410119704999424,-0.0252387757419449,-0.0851269925751231,-0.132161959494947,-0.0718459550557943,0.00942297964909792,0.137213294992391,0.124247414869619,0.0877117316052561,0.0346438082732831,-0.0237554339129643,-0.0739452710690063,-0.103658591798466,-0.0838112816907769,-0.00534731737576476,0.0356245802753704,0.137200370400615,0.124373212086108,0.0882073575207468,0.0356181235796149,-0.0223474503420858,-0.0722803811814457,-0.101984400076655,-0.0828098859561799,-0.00539204593554032,0.0350728196776858,0.111507627077547,0.130779908794712,0.122936161340741,0.0885645498440523,0.0339923569527954,-0.0289744675460041,-0.0852281934539624,-0.127558546974028,-0.067717275679668,0.0117971819808711
84.0896415253715,0.174457438007713,0.159784920938759,0.118080733426465,0.0564714128222555,-0.0130376486215183,-0.0749149715716609,-0.114024866559884,-0.098168207782946,-0.00956874620735328,0.0374477426027628,0.174388848736637,0.159883591464507,0.118625139070736,0.0575914129556191,-0.0114001302394674,-0.0729772897204666,-0.112084203933087,-0.0970147403504033,-0.00960329738463259,0.0368412893391191,0.145771791953481,0.167963806421044,0.159280454451971,0.119734206382949,0.0555985095168253,-0.0201284737324212,-0.0896025461845025,-0.146742767783694,-0.0804735874954067,0.0106578756074409,0.162706807528223,0.148221557116817,0.107248753782199,0.0472943542189093,-0.0193967134202682,-0.0775800108434821,-0.11300637304516,-0.0934280127885183,-0.00588373263842696,0.0400746701553998,0.162685195898192,0.14835995208924,0.107813191227428,0.0484083579260984,-0.0177887496792749,-0.0756853153020649,-0.111109984442917,-0.0923036995545373,-0.0059359559189195,0.039454236224924,0.133866614795411,0.155712197798869,0.147203752213332,0.108721796164327,0.046934804835162,-0.025162870487766,-0.0904145945631304,-0.14177683000655,-0.0758417112881923,0.0133326597161756
