 frequency       v(/u_vc)        v(/u_vc)        v(/u_d)         v(/u_d)        
 2.16271852e+01  1.49965846e-02  1.43537647e-01  1.49965846e-02  1.43537643e-01 
 2.18776162e+01  1.54965024e-02  1.45883930e-01  1.54965024e-02  1.45883926e-01 
 2.21309471e+01  1.60174716e-02  1.48287725e-01  1.60174716e-02  1.48287721e-01 
 2.23872114e+01  1.65606387e-02  1.50751218e-01  1.65606387e-02  1.50751214e-01 
 2.26464431e+01  1.71272294e-02  1.53276711e-01  1.71272294e-02  1.53276707e-01 
 2.29086765e+01  1.77185546e-02  1.55866625e-01  1.77185546e-02  1.55866621e-01 
 2.31739465e+01  1.83360176e-02  1.58523512e-01  1.83360176e-02  1.58523507e-01 
 2.34422882e+01  1.89811224e-02  1.61250060e-01  1.89811224e-02  1.61250056e-01 
 2.37137371e+01  1.96554821e-02  1.64049105e-01  1.96554821e-02  1.64049101e-01 
 2.39883292e+01  2.03608284e-02  1.66923639e-01  2.03608285e-02  1.66923635e-01 
 2.42661010e+01  2.10990228e-02  1.69876822e-01  2.10990228e-02  1.69876817e-01 
 2.45470892e+01  2.18720675e-02  1.72911990e-01  2.18720676e-02  1.72911986e-01 
 2.48313311e+01  2.26821191e-02  1.76032674e-01  2.26821191e-02  1.76032670e-01 
 2.51188643e+01  2.35315023e-02  1.79242607e-01  2.35315023e-02  1.79242603e-01 
 2.54097271e+01  2.44227264e-02  1.82545741e-01  2.44227264e-02  1.82545737e-01 
 2.57039578e+01  2.53585027e-02  1.85946264e-01  2.53585028e-02  1.85946260e-01 
 2.60015956e+01  2.63417643e-02  1.89448615e-01  2.63417644e-02  1.89448611e-01 
 2.63026799e+01  2.73756881e-02  1.93057503e-01  2.73756882e-02  1.93057498e-01 
 2.66072506e+01  2.84637191e-02  1.96777927e-01  2.84637192e-02  1.96777922e-01 
 2.69153480e+01  2.96095981e-02  2.00615197e-01  2.96095982e-02  2.00615193e-01 
 2.72270131e+01  3.08173923e-02  2.04574961e-01  3.08173923e-02  2.04574956e-01 
 2.75422870e+01  3.20915296e-02  2.08663224e-01  3.20915297e-02  2.08663220e-01 
 2.78612117e+01  3.34368377e-02  2.12886382e-01  3.34368378e-02  2.12886378e-01 
 2.81838293e+01  3.48585875e-02  2.17251248e-01  3.48585876e-02  2.17251244e-01 
 2.85101827e+01  3.63625419e-02  2.21765086e-01  3.63625420e-02  2.21765081e-01 
 2.88403150e+01  3.79550123e-02  2.26435646e-01  3.79550125e-02  2.26435641e-01 
 2.91742701e+01  3.96429208e-02  2.31271203e-01  3.96429209e-02  2.31271198e-01 
 2.95120923e+01  4.14338719e-02  2.36280597e-01  4.14338720e-02  2.36280593e-01 
 2.98538262e+01  4.33362338e-02  2.41473282e-01  4.33362340e-02  2.41473277e-01 
 3.01995172e+01  4.53592311e-02  2.46859369e-01  4.53592312e-02  2.46859364e-01 
 3.05492111e+01  4.75130502e-02  2.52449682e-01  4.75130503e-02  2.52449677e-01 
 3.09029543e+01  4.98089606e-02  2.58255816e-01  4.98089608e-02  2.58255811e-01 
 3.12607937e+01  5.22594538e-02  2.64290195e-01  5.22594540e-02  2.64290190e-01 
 3.16227766e+01  5.48784025e-02  2.70566140e-01  5.48784028e-02  2.70566135e-01 
 3.19889511e+01  5.76812451e-02  2.77097938e-01  5.76812454e-02  2.77097933e-01 
 3.23593657e+01  6.06851978e-02  2.83900914e-01  6.06851980e-02  2.83900909e-01 
 3.27340695e+01  6.39095011e-02  2.90991512e-01  6.39095014e-02  2.90991507e-01 
 3.31131121e+01  6.73757056e-02  2.98387373e-01  6.73757059e-02  2.98387368e-01 
 3.34965439e+01  7.11080049e-02  3.06107420e-01  7.11080053e-02  3.06107415e-01 
 3.38844156e+01  7.51336239e-02  3.14171937e-01  7.51336243e-02  3.14171932e-01 
 3.42767787e+01  7.94832736e-02  3.22602654e-01  7.94832741e-02  3.22602649e-01 
 3.46736850e+01  8.41916844e-02  3.31422816e-01  8.41916849e-02  3.31422811e-01 
 3.50751874e+01  8.92982335e-02  3.40657248e-01  8.92982340e-02  3.40657244e-01 
 3.54813389e+01  9.48476851e-02  3.50332397e-01  9.48476857e-02  3.50332392e-01 
 3.58921935e+01  1.00891066e-01  3.60476341e-01  1.00891066e-01  3.60476336e-01 
 3.63078055e+01  1.07486701e-01  3.71118758e-01  1.07486701e-01  3.71118754e-01 
 3.67282300e+01  1.14701447e-01  3.82290827e-01  1.14701448e-01  3.82290822e-01 
 3.71535229e+01  1.22612160e-01  3.94025027e-01  1.22612161e-01  3.94025022e-01 
 3.75837404e+01  1.31307440e-01  4.06354807e-01  1.31307441e-01  4.06354803e-01 
 3.80189396e+01  1.40889725e-01  4.19314060e-01  1.40889726e-01  4.19314055e-01 
 3.84591782e+01  1.51477781e-01  4.32936324e-01  1.51477782e-01  4.32936320e-01 
 3.89045145e+01  1.63209682e-01  4.47253606e-01  1.63209684e-01  4.47253602e-01 
