 frequency       v(/u_vc)        v(/u_vc)        v(/u_d)         v(/u_d)        
 2.16271852e+01  1.49964430e-02  1.43573583e-01  1.49965543e-02  1.43452579e-01 
 2.18776162e+01  1.54963362e-02  1.45920090e-01  1.54964872e-02  1.45798010e-01 
 2.21309471e+01  1.60172788e-02  1.48324103e-01  1.60174728e-02  1.48200948e-01 
 2.23872114e+01  1.65604173e-02  1.50787808e-01  1.65606582e-02  1.50663581e-01 
 2.26464431e+01  1.71269772e-02  1.53313506e-01  1.71272689e-02  1.53188212e-01 
 2.29086765e+01  1.77182693e-02  1.55903619e-01  1.77186160e-02  1.55777261e-01 
 2.31739465e+01  1.83356967e-02  1.58560696e-01  1.83361031e-02  1.58433281e-01 
 2.34422882e+01  1.89807633e-02  1.61287428e-01  1.89812344e-02  1.61158961e-01 
 2.37137371e+01  1.96550818e-02  1.64086647e-01  1.96556231e-02  1.63957137e-01 
 2.39883292e+01  2.03603840e-02  1.66961346e-01  2.03610013e-02  1.66830801e-01 
 2.42661010e+01  2.10985309e-02  1.69914684e-01  2.10992306e-02  1.69783115e-01 
 2.45470892e+01  2.18715247e-02  1.72949998e-01  2.18723135e-02  1.72817415e-01 
 2.48313311e+01  2.26815215e-02  1.76070815e-01  2.26824069e-02  1.75937232e-01 
 2.51188643e+01  2.35308459e-02  1.79280869e-01  2.35318360e-02  1.79146300e-01 
 2.54097271e+01  2.44220069e-02  1.82584112e-01  2.44231103e-02  1.82448572e-01 
 2.57039578e+01  2.53577155e-02  1.85984730e-01  2.53589417e-02  1.85848238e-01 
 2.60015956e+01  2.63409044e-02  1.89487160e-01  2.63422637e-02  1.89349736e-01 
 2.63026799e+01  2.73747501e-02  1.93096113e-01  2.73762536e-02  1.92957777e-01 
 2.66072506e+01  2.84626972e-02  1.96816584e-01  2.84643572e-02  1.96677361e-01 
 2.69153480e+01  2.96084862e-02  2.00653885e-01  2.96103158e-02  2.00513801e-01 
 2.72270131e+01  3.08161837e-02  2.04613660e-01  3.08181973e-02  2.04472743e-01 
 2.75422870e+01  3.20902173e-02  2.08701914e-01  3.20924305e-02  2.08560197e-01 
 2.78612117e+01  3.34354139e-02  2.12925042e-01  3.34378441e-02  2.12782558e-01 
 2.81838293e+01  3.48570440e-02  2.17289855e-01  3.48597096e-02  2.17146641e-01 
 2.85101827e+01  3.63608699e-02  2.21803616e-01  3.63637916e-02  2.21659713e-01 
 2.88403150e+01  3.79532023e-02  2.26474073e-01  3.79564023e-02  2.26329526e-01 
 2.91742701e+01  3.96409624e-02  2.31309499e-01  3.96444654e-02  2.31164356e-01 
 2.95120923e+01  4.14317542e-02  2.36318735e-01  4.14355870e-02  2.36173048e-01 
 2.98538262e+01  4.33339449e-02  2.41511229e-01  4.33381372e-02  2.41365056e-01 
 3.01995172e+01  4.53567582e-02  2.46897093e-01  4.53613426e-02  2.46750494e-01 
 3.05492111e+01  4.75103797e-02  2.52487149e-01  4.75153920e-02  2.52340192e-01 
 3.09029543e+01  4.98060778e-02  2.58292988e-01  4.98115575e-02  2.58145747e-01 
 3.12607937e+01  5.22563427e-02  2.64327033e-01  5.22623335e-02  2.64179587e-01 
 3.16227766e+01  5.48750461e-02  2.70602603e-01  5.48815964e-02  2.70455037e-01 
 3.19889511e+01  5.76776251e-02  2.77133981e-01  5.76847884e-02  2.76986389e-01 
 3.23593657e+01  6.06812944e-02  2.83936490e-01  6.06891303e-02  2.83788973e-01 
 3.27340695e+01  6.39052933e-02  2.91026571e-01  6.39138679e-02  2.90879240e-01 
 3.31131121e+01  6.73711709e-02  2.98421862e-01  6.73805578e-02  2.98274835e-01 
 3.34965439e+01  7.11031190e-02  3.06141282e-01  7.11134004e-02  3.05994690e-01 
 3.38844156e+01  7.51283611e-02  3.14205114e-01  7.51396289e-02  3.14059095e-01 
 3.42767787e+01  7.94776063e-02  3.22635081e-01  7.94899636e-02  3.22489790e-01 
 3.46736850e+01  8.41855833e-02  3.31454425e-01  8.41991459e-02  3.31310028e-01 
 3.50751874e+01  8.92916677e-02  3.40687969e-01  8.93065658e-02  3.40544644e-01 
 3.54813389e+01  9.48406222e-02  3.50362152e-01  9.48570026e-02  3.50220096e-01 
 3.58921935e+01  1.00883471e-01  3.60505050e-01  1.00901500e-01  3.60364475e-01 
 3.63078055e+01  1.07478540e-01  3.71146335e-01  1.07498406e-01  3.71007472e-01 
 3.67282300e+01  1.14692683e-01  3.82317179e-01  1.14714600e-01  3.82180279e-01 
 3.71535229e+01  1.22602756e-01  3.94050056e-01  1.22626968e-01  3.93915391e-01 
 3.75837404e+01  1.31297359e-01  4.06378408e-01  1.31324147e-01  4.06246272e-01 
 3.80189396e+01  1.40878932e-01  4.19336119e-01  1.40908614e-01  4.19206832e-01 
 3.84591782e+01  1.51466241e-01  4.32956719e-01  1.51499186e-01  4.32830626e-01 
 3.89045145e+01  1.63197368e-01  4.47272205e-01  1.63234001e-01  4.47149678e-01 
 3.93550075e+01  1.76233262e-01  4.62311330e-01  1.76274074e-01  4.62192770e-01 
 3.98107171e+01  1.90761971e-01  4.78097158e-01  1.90807533e-01  4.77982995e-01 
 4.02717034e+01  2.07003655e-01  4.94643577e-01  2.07054631e-01  4.94534268e-01 
 4.07380278e+01  2.25216467e-01  5.11950382e-01  2.25273634e-01  5.11846409e-01 
 4.12097519e+01  2.45703362e-01  5.29996354e-01  2.45767629e-01  5.29898222e-01 
 4.16869383e+01  2.68819831e-01  5.48729573e-01  2.68892268e-01  5.48637797e-01 
 4.21696503e+01  2.94982364e-01  5.68053897e-01  2.95064228e-01  5.67968993e-01 
 4.26579519e+01  3.24677190e-01  5.87810192e-01  3.24769969e-01  5.87732657e-01 
 4.31519077e+01  3.58468304e-01  6.07750430e-01  3.58573752e-01  6.07680708e-01 
 4.36515832e+01  3.97002886e-01  6.27502248e-01  3.97123076e-01  6.27440687e-01 
 4.41570447e+01  4.41010750e-01  6.46521132e-01  4.41148126e-01  6.46467919e-01 
 4.46683592e+01  4.91292067e-01  6.64027198e-01  4.91449499e-01  6.63982261e-01 
 4.51855944e+01  5.48683983e-01  6.78924301e-01  5.48864813e-01  6.78887176e-01 
 4.57088190e+01  6.13991615e-01  6.89701938e-01  6.14199688e-01  6.89671590e-01 
 4.62381021e+01  6.87862586e-01  6.94327152e-01  6.88102232e-01  6.94301729e-01 
 4.67735141e+01  7.70578474e-01  6.90147364e-01  7.70854412e-01  6.90123893e-01 
 4.73151259e+01  8.61736689e-01  6.73849220e-01  8.62053801e-01  6.73823251e-01 
 4.78630092e+01  9.59813447e-01  6.41553920e-01  9.60176344e-01  6.41519169e-01 
 4.84172368e+01  1.06165062e+00  5.89166832e-01  1.06206296e+00  5.89114922e-01 
 4.89778819e+01  1.16201273e+00  5.13106045e-01  1.16247627e+00  5.13026517e-01 
 4.95450191e+01  1.25350138e+00  4.11448446e-01  1.25401485e+00  4.11329259e-01 
 5.01187234e+01  1.32720080e+00  2.85290717e-01  1.32775898e+00  2.85119405e-01 
 5.06990708e+01  1.37428117e+00  1.39769639e-01  1.37487448e+00  1.39535067e-01 
 5.12861384e+01  1.38828118e+00 -1.60128778e-02  1.38889633e+00 -1.63185550e-02 
 5.18800039e+01  1.36715065e+00 -1.70583013e-01  1.36777230e+00 -1.70962879e-01 
 5.24807460e+01  1.31395863e+00 -3.12756503e-01  1.31457164e+00 -3.13208487e-01 
